index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-01-01,294.0,9.0,37.0,145.0,44.0,27.0,13.0,12.0,7.0
2018-01-02,288.0,13.0,45.0,119.0,41.0,27.0,14.0,19.0,10.0
2018-01-03,284.0,13.0,44.0,106.0,40.0,36.0,14.0,20.0,11.0
2018-01-04,274.0,15.0,44.0,103.0,45.0,30.0,10.0,15.0,12.0
2018-01-05,273.0,10.0,45.0,107.0,41.0,26.0,13.0,21.0,10.0
2018-01-06,295.0,11.0,43.0,135.0,43.0,26.0,12.0,15.0,10.0
2018-01-07,275.0,15.0,38.0,118.0,37.0,29.0,15.0,13.0,10.0
2018-01-08,264.0,10.0,37.0,103.0,44.0,28.0,15.0,16.0,11.0
2018-01-09,260.0,7.0,41.0,103.0,43.0,24.0,13.0,18.0,11.0
2018-01-10,279.0,7.0,39.0,109.0,48.0,29.0,13.0,21.0,13.0
2018-01-11,296.0,15.0,41.0,105.0,50.0,31.0,13.0,22.0,19.0
2018-01-12,297.0,15.0,39.0,119.0,48.0,30.0,13.0,17.0,16.0
2018-01-13,325.0,15.0,38.0,153.0,53.0,25.0,14.0,13.0,14.0
2018-01-14,323.0,13.0,39.0,155.0,47.0,31.0,13.0,13.0,12.0
2018-01-15,304.0,13.0,41.0,141.0,45.0,27.0,14.0,9.0,14.0
2018-01-16,280.0,11.0,45.0,108.0,46.0,27.0,13.0,16.0,14.0
2018-01-17,274.0,15.0,42.0,103.0,45.0,26.0,10.0,17.0,16.0
2018-01-18,280.0,13.0,48.0,102.0,48.0,29.0,10.0,16.0,14.0
2018-01-19,289.0,10.0,44.0,114.0,50.0,29.0,11.0,22.0,9.0
2018-01-20,332.0,9.0,36.0,165.0,53.0,32.0,12.0,15.0,10.0
2018-01-21,314.0,9.0,34.0,163.0,47.0,26.0,16.0,11.0,8.0
2018-01-22,299.0,11.0,37.0,128.0,56.0,23.0,15.0,18.0,11.0
2018-01-23,281.0,14.0,41.0,110.0,50.0,24.0,13.0,17.0,12.0
2018-01-24,270.0,14.0,45.0,104.0,51.0,21.0,11.0,14.0,10.0
2018-01-25,264.0,10.0,38.0,106.0,51.0,20.0,13.0,14.0,12.0
2018-01-26,300.0,11.0,38.0,131.0,54.0,23.0,13.0,16.0,14.0
2018-01-27,326.0,16.0,39.0,160.0,50.0,25.0,13.0,16.0,7.0
2018-01-28,302.0,16.0,37.0,154.0,37.0,25.0,16.0,11.0,6.0
2018-01-29,312.0,16.0,42.0,134.0,50.0,27.0,16.0,16.0,11.0
2018-01-30,285.0,15.0,39.0,117.0,49.0,23.0,18.0,14.0,10.0
2018-01-31,297.0,14.0,38.0,117.0,50.0,25.0,18.0,24.0,11.0
2018-02-01,308.0,18.0,46.0,120.0,51.0,27.0,16.0,19.0,11.0
2018-02-02,288.0,18.0,41.0,113.0,51.0,25.0,13.0,15.0,12.0
2018-02-03,335.0,15.0,40.0,169.0,50.0,24.0,12.0,16.0,9.0
2018-02-04,328.0,17.0,39.0,181.0,31.0,27.0,9.0,16.0,8.0
2018-02-05,308.0,18.0,42.0,134.0,45.0,27.0,11.0,19.0,12.0
2018-02-06,294.0,17.0,42.0,119.0,46.0,28.0,13.0,16.0,13.0
