index,Total,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018-01,976.0,40.0,66.0,414.0,89.0,189.0,68.0,56.0,54.0
2018-02,986.0,35.0,69.0,448.0,87.0,185.0,56.0,54.0,52.0
2018-03,1028.0,32.0,64.0,470.0,94.0,198.0,60.0,50.0,60.0
2018-04,1131.0,31.0,63.0,542.0,97.0,198.0,70.0,54.0,76.0
2018-05,1150.0,31.0,66.0,562.0,103.0,194.0,64.0,57.0,73.0
2018-06,1162.0,34.0,69.0,574.0,96.0,193.0,64.0,67.0,65.0
2018-07,1227.0,42.0,71.0,624.0,93.0,203.0,61.0,52.0,81.0
2018-08,1252.0,45.0,73.0,634.0,92.0,196.0,65.0,56.0,91.0
2018-09,1313.0,39.0,82.0,699.0,102.0,177.0,50.0,72.0,92.0
2018-10,1291.0,37.0,78.0,610.0,110.0,183.0,59.0,90.0,124.0
2018-11,1082.0,39.0,77.0,487.0,99.0,176.0,46.0,66.0,92.0
2018-12,1022.0,38.0,66.0,443.0,93.0,184.0,55.0,59.0,84.0
2019-01,1055.0,28.0,72.0,478.0,92.0,177.0,53.0,60.0,95.0
2019-02,971.0,20.0,69.0,406.0,93.0,169.0,64.0,56.0,94.0
2019-03,1098.0,26.0,70.0,523.0,97.0,163.0,63.0,58.0,98.0
2019-04,1231.0,36.0,73.0,616.0,105.0,156.0,67.0,65.0,113.0
2019-05,1304.0,38.0,69.0,679.0,101.0,162.0,62.0,72.0,121.0
2019-06,1258.0,44.0,73.0,649.0,95.0,153.0,61.0,63.0,120.0
2019-07,1248.0,37.0,74.0,635.0,93.0,170.0,64.0,63.0,112.0
2019-08,1295.0,40.0,77.0,674.0,94.0,176.0,59.0,65.0,110.0
2019-09,1382.0,31.0,79.0,739.0,109.0,154.0,68.0,77.0,125.0
2019-10,1379.0,38.0,81.0,708.0,115.0,157.0,63.0,96.0,121.0
2019-11,1160.0,32.0,78.0,566.0,99.0,153.0,61.0,69.0,102.0
2019-12,1041.0,44.0,76.0,452.0,86.0,159.0,68.0,56.0,100.0
2020-01,1080.0,38.0,71.0,511.0,86.0,151.0,65.0,58.0,100.0
2020-02,1123.0,29.0,69.0,578.0,85.0,138.0,52.0,63.0,109.0
2020-03,1068.0,32.0,70.0,511.0,85.0,147.0,59.0,55.0,109.0
2020-04,1026.0,35.0,68.0,481.0,63.0,148.0,61.0,54.0,116.0
2020-05,1174.0,51.0,67.0,627.0,76.0,143.0,47.0,59.0,104.0
2020-06,1183.0,47.0,69.0,646.0,75.0,122.0,40.0,61.0,123.0
2020-07,1259.0,40.0,68.0,708.0,77.0,139.0,40.0,61.0,126.0
2020-08,1250.0,39.0,79.0,685.0,72.0,138.0,48.0,64.0,125.0
2020-09,1289.0,40.0,83.0,718.0,76.0,134.0,45.0,68.0,125.0
2020-10,1325.0,37.0,78.0,749.0,76.0,152.0,39.0,70.0,124.0
2020-11,1168.0,32.0,74.0,627.0,75.0,143.0,35.0,69.0,113.0
2020-12,1089.0,28.0,71.0,566.0,72.0,151.0,33.0,57.0,111.0
2021-01,1121.0,49.0,68.0,601.0,67.0,138.0,30.0,58.0,110.0
2021-02,1126.0,30.0,67.0,593.0,75.0,134.0,37.0,63.0,127.0
2021-03,1272.0,37.0,76.0,671.0,84.0,154.0,35.0,75.0,140.0
2021-04,1309.0,49.0,78.0,702.0,85.0,190.0,59.0,86.0,60.0
2021-05,1395.0,49.0,78.0,775.0,93.0,193.0,63.0,72.0,72.0
2021-06,1407.0,64.0,86.0,778.0,91.0,176.0,63.0,77.0,72.0
2021-07,1392.0,50.0,89.0,775.0,92.0,172.0,61.0,82.0,71.0
2021-08,1357.0,29.0,89.0,791.0,92.0,157.0,60.0,64.0,75.0
2021-09,1500.0,43.0,93.0,907.0,97.0,126.0,65.0,85.0,84.0
2021-10,1451.0,39.0,87.0,869.0,95.0,136.0,61.0,91.0,73.0
2021-11,1237.0,32.0,93.0,688.0,95.0,136.0,52.0,81.0,60.0
2021-12,1119.0,40.0,92.0,591.0,85.0,137.0,56.0,71.0,47.0
2022-01,1176.0,34.0,81.0,672.0,85.0,146.0,56.0,64.0,38.0
2022-02,1206.0,30.0,79.0,684.0,83.0,154.0,52.0,80.0,44.0
2022-03,1289.0,34.0,78.0,710.0,94.0,180.0,64.0,81.0,48.0
