,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2018/01/01,9,37,145,44,27,13,12,7
2018/01/02,13,45,119,41,27,14,19,10
2018/01/03,13,44,106,40,36,14,20,11
2018/01/04,15,44,103,45,30,10,15,12
2018/01/05,10,45,107,41,26,13,21,10
2018/01/06,11,43,135,43,26,12,15,10
2018/01/07,15,38,118,37,29,15,13,10
2018/01/08,10,37,103,44,28,15,16,11
2018/01/09,7,41,103,43,24,13,18,11
2018/01/10,7,39,109,48,29,13,21,13
2018/01/11,15,41,105,50,31,13,22,19
2018/01/12,15,39,119,48,30,13,17,16
2018/01/13,15,38,153,53,25,14,13,14
2018/01/14,13,39,155,47,31,13,13,12
2018/01/15,13,41,141,45,27,14,9,14
2018/01/16,11,45,108,46,27,13,16,14
2018/01/17,15,42,103,45,26,10,17,16
2018/01/18,13,48,102,48,29,10,16,14
2018/01/19,10,44,114,50,29,11,22,9
2018/01/20,9,36,165,53,32,12,15,10
2018/01/21,9,34,163,47,26,16,11,8
2018/01/22,11,37,128,56,23,15,18,11
2018/01/23,14,41,110,50,24,13,17,12
2018/01/24,14,45,104,51,21,11,14,10
2018/01/25,10,38,106,51,20,13,14,12
2018/01/26,11,38,131,54,23,13,16,14
2018/01/27,16,39,160,50,25,13,16,7
2018/01/28,16,37,154,37,25,16,11,6
2018/01/29,16,42,134,50,27,16,16,11
2018/01/30,15,39,117,49,23,18,14,10
2018/01/31,14,38,117,50,25,18,24,11
2018/02/01,18,46,120,51,27,16,19,11
2018/02/02,18,41,113,51,25,13,15,12
2018/02/03,15,40,169,50,24,12,16,9
2018/02/04,17,39,181,31,27,9,16,8
2018/02/05,18,42,134,45,27,11,19,12
2018/02/06,17,42,119,46,28,13,16,13
2018/02/07,21,42,134,49,28,14,16,12
2018/02/08,19,43,138,45,27,11,19,9
2018/02/09,18,42,135,46,30,9,17,9
2018/02/10,16,42,178,53,30,11,15,8
2018/02/11,15,39,172,41,27,9,16,9
2018/02/12,14,43,145,51,30,10,20,9
2018/02/13,17,33,134,48,21,12,20,7
2018/02/14,14,37,127,49,26,11,23,9
2018/02/15,12,40,119,55,24,12,20,10
2018/02/16,12,38,138,47,24,12,17,9
2018/02/17,10,36,183,54,25,13,15,8
2018/02/18,9,35,185,41,25,12,14,7
2018/02/19,9,35,159,36,30,14,17,8
2018/02/20,8,41,123,49,28,14,15,10
2018/02/21,14,40,121,47,35,12,19,9
2018/02/22,12,40,115,43,35,13,17,8
2018/02/23,9,39,126,50,30,15,18,15
2018/02/24,9,36,156,53,29,16,14,11
2018/02/25,9,29,161,34,25,14,11,7
2018/02/26,8,33,131,48,27,12,13,8
2018/02/27,9,35,120,42,27,13,14,8
2018/02/28,12,38,126,47,33,15,17,11
2018/03/01,10,39,108,46,30,15,14,9
2018/03/02,8,41,123,46,27,16,15,7
2018/03/03,12,41,136,48,28,15,12,9
