,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
100,11,42,291,40,44,10,27,7
101,12,41,285,37,42,10,26,9
102,12,45,212,41,51,10,29,5
103,9,45,197,40,52,12,26,4
104,14,39,212,40,52,12,29,9
105,16,43,220,42,50,12,23,12
106,16,39,244,47,44,15,24,6
107,13,42,300,42,54,12,25,7
108,11,40,292,34,56,14,23,6
109,12,48,216,50,52,14,30,4
10,25,37,231,17,30,5,24,25
110,13,47,201,45,53,13,24,8
111,10,46,196,45,51,13,22,8
112,13,49,204,42,51,9,28,7
113,16,47,215,47,49,8,28,8
114,17,47,274,47,49,6,26,15
115,17,39,239,36,46,10,20,12
116,12,48,195,44,51,12,26,11
117,14,51,187,35,51,13,33,6
118,15,50,199,34,51,14,35,5
119,19,48,225,36,44,15,37,4
11,29,39,176,23,28,5,28,29
120,21,49,227,46,48,16,23,5
121,16,37,270,45,49,12,24,7
122,8,38,276,35,49,13,21,7
123,8,44,223,41,52,8,23,6
124,8,44,193,38,51,9,23,6
125,10,45,201,37,55,7,28,6
126,13,42,203,50,48,6,25,5
127,9,46,217,45,48,7,23,4
128,14,41,282,44,44,7,24,5
129,11,37,256,38,46,7,18,6
12,26,36,155,24,27,6,27,34
130,14,46,214,49,53,7,23,9
131,11,51,203,40,56,9,32,6
132,24,43,199,41,55,11,26,7
133,25,44,211,43,53,11,22,10
134,12,49,243,47,49,11,27,8
135,11,36,196,40,44,11,21,5
136,10,30,193,31,35,7,17,7
137,12,49,199,45,48,12,28,8
138,11,46,177,39,44,12,30,9
139,14,43,203,40,46,14,33,5
13,23,39,157,26,23,6,24,34
140,14,43,222,39,47,14,32,6
141,17,42,244,39,47,14,38,5
142,18,38,292,43,45,8,32,10
143,15,45,313,38,46,12,25,9
144,11,49,215,39,48,12,27,7
145,12,41,195,35,45,12,27,3
146,13,50,223,33,45,13,30,6
147,15,47,216,41,46,13,29,5
148,20,45,256,50,50,13,29,6
149,11,43,296,45,44,13,27,10
14,23,36,183,29,25,6,25,41
150,11,42,307,40,46,13,23,6
151,13,42,293,41,44,12,24,15
152,13,48,239,44,43,14,25,13
153,12,52,205,37,41,11,30,12
154,12,49,227,39,43,12,29,6
155,13,49,242,42,43,11,30,3
156,13,43,292,50,42,12,21,3
157,13,38,286,42,45,13,20,4
158,11,49,229,42,46,11,22,7
159,11,51,208,38,48,12,27,12
15,22,33,203,28,27,7,22,35
160,11,54,218,42,46,14,26,8
161,11,54,241,46,45,11,28,14
162,12,52,266,47,40,12,28,7
163,13,49,288,53,42,12,28,11
164,14,44,268,43,36,14,27,15
165,14,53,234,47,40,14,32,7
166,12,57,217,41,42,13,27,7
167,18,53,220,46,42,17,27,5
168,17,49,240,48,41,17,33,4
169,18,51,261,51,40,15,26,5
16,22,34,242,26,30,7,26,28
170,25,41,313,46,42,14,31,4
171,25,42,279,41,47,13,27,6
172,35,53,222,41,50,12,31,7
173,32,58,216,39,47,13,24,5
174,20,59,221,42,46,9,28,6
175,16,54,229,40,46,7,28,11
176,18,56,233,47,41,10,32,5
177,17,40,190,37,35,7,22,3
178,17,45,240,38,37,12,22,6
179,15,53,222,44,42,13,25,7
17,20,35,276,19,27,6,22,28
180,12,53,214,39,40,13,28,6
181,19,55,211,44,44,14,30,5
182,22,52,229,50,44,12,25,6
183,14,54,245,49,42,13,27,5
184,14,46,274,54,47,17,27,9
185,19,44,283,49,43,16,23,4
186,14,50,296,56,46,16,21,3
187,15,58,219,49,40,12,26,3
188,18,57,202,48,43,12,34,6
189,17,55,227,51,48,13,31,4
18,18,38,240,24,21,5,20,30
190,15,57,252,51,49,13,28,8
191,16,49,297,52,45,14,25,9
192,16,44,277,57,44,16,28,9
193,17,48,218,52,45,14,31,4
194,16,48,218,46,47,12,26,13
195,18,54,203,51,47,14,27,15
196,17,56,235,50,48,14,25,8
197,15,57,261,55,43,12,22,8
198,20,50,283,52,43,11,28,7
199,20,49,285,46,48,13,26,6
19,16,34,202,28,19,4,26,29
1,12,27,225,18,26,8,18,24
200,18,58,244,45,44,14,27,8
