,Fishing,TugTow,Recreational,Passenger,Cargo,Tanker,Other,Unavailable
2019/01/01,8,36,139,55,21,13,17,15
2019/01/02,9,39,141,43,22,13,23,17
2019/01/03,9,41,129,41,29,10,24,18
2019/01/04,10,44,121,44,26,10,27,15
2019/01/05,8,37,122,45,20,11,25,14
2019/01/06,5,37,102,37,24,14,21,13
2019/01/07,8,42,111,50,28,13,26,15
2019/01/08,4,41,111,46,29,16,25,21
2019/01/09,4,41,115,50,28,11,24,20
2019/01/10,6,45,121,43,25,13,27,18
2019/01/11,5,42,115,48,26,11,25,15
2019/01/12,8,40,160,52,26,10,18,14
2019/01/13,5,36,162,36,25,12,16,11
2019/01/14,4,45,134,43,26,15,19,13
2019/01/15,4,42,123,47,27,15,25,16
2019/01/16,5,45,121,47,27,17,17,15
2019/01/17,5,43,127,48,28,12,17,19
2019/01/18,6,44,134,49,26,10,23,13
2019/01/19,8,42,165,47,30,11,18,13
2019/01/20,4,39,159,38,32,9,21,15
2019/01/21,2,42,156,42,31,10,22,16
2019/01/22,3,46,147,47,30,7,24,19
2019/01/23,6,43,132,48,26,5,24,17
2019/01/24,6,47,135,50,25,3,22,25
2019/01/25,6,44,150,48,22,7,19,24
2019/01/26,5,43,204,46,22,10,16,22
2019/01/27,8,45,195,41,26,12,19,19
2019/01/28,5,43,147,45,23,13,21,23
2019/01/29,3,46,130,51,23,10,23,23
2019/01/30,5,45,123,48,22,8,28,24
2019/01/31,7,48,123,50,21,8,28,22
2019/02/01,6,46,128,45,21,10,27,22
2019/02/02,3,37,134,44,25,11,24,15
2019/02/03,4,39,130,31,26,12,21,14
2019/02/04,5,46,122,45,33,12,24,16
2019/02/05,6,45,120,44,26,16,24,18
2019/02/06,6,45,121,45,29,15,24,14
2019/02/07,8,42,120,48,26,14,30,19
2019/02/08,7,41,115,49,27,12,27,20
2019/02/09,7,40,125,47,29,12,22,22
2019/02/10,6,36,141,37,29,10,24,19
2019/02/11,8,37,121,53,25,11,29,22
2019/02/12,6,41,119,50,24,13,27,25
2019/02/13,6,34,115,47,22,15,24,23
2019/02/14,6,34,112,47,23,19,25,23
2019/02/15,6,42,111,48,25,17,25,26
2019/02/16,3,38,138,50,28,18,26,19
2019/02/17,4,39,144,40,29,19,21,21
2019/02/18,6,37,165,40,25,18,20,25
2019/02/19,5,45,140,53,26,22,27,28
2019/02/20,3,49,127,48,27,20,29,22
2019/02/21,3,47,120,47,29,17,22,22
2019/02/22,5,47,139,59,31,15,25,27
2019/02/23,10,46,171,53,34,13,19,29
2019/02/24,9,36,180,45,38,14,19,20
2019/02/25,6,39,140,50,33,15,23,15
2019/02/26,3,36,125,45,28,14,24,17
2019/02/27,2,43,121,48,31,10,23,22
2019/02/28,4,46,127,52,32,17,21,23
2019/03/01,6,40,135,53,30,16,23,21
2019/03/02,5,43,132,47,30,14,19,22
2019/03/03,8,39,143,43,30,14,20,18
2019/03/04,5,39,131,48,27,13,22,20
2019/03/05,5,41,116,46,33,11,19,21
2019/03/06,3,38,123,45,28,9,20,20
2019/03/07,3,41,136,48,27,10,22,20
2019/03/08,5,37,144,53,26,13,21,19
2019/03/09,6,33,161,50,24,15,18,17
2019/03/10,6,36,167,35,30,13,20,17
2019/03/11,5,39,145,51,25,14,21,15
2019/03/12,6,36,142,47,27,12,20,18
2019/03/13,3,39,141,54,24,13,23,17
2019/03/14,5,47,138,55,25,10,18,18
2019/03/15,6,47,158,53,25,10,20,24
2019/03/16,8,39,209,53,25,12,22,24
2019/03/17,7,40,225,44,26,10,16,23
2019/03/18,8,44,165,52,25,10,20,21
2019/03/19,7,37,146,49,25,11,19,23
2019/03/20,5,39,131,52,26,10,25,20
2019/03/21,7,40,134,53,23,8,24,22
2019/03/22,6,41,141,49,22,10,22,19
2019/03/23,5,36,191,50,22,10,19,20
2019/03/24,6,35,199,41,23,11,17,20
2019/03/25,4,38,150,55,30,13,22,22
2019/03/26,5,36,144,53,29,15,24,21
2019/03/27,4,37,148,51,27,14,23,24
2019/03/28,5,41,134,52,24,14,26,26
2019/03/29,7,43,166,52,22,15,22,25
2019/03/30,5,37,203,61,22,16,18,24
2019/03/31,11,39,222,47,26,14,19,23
2019/04/01,9,43,157,51,28,13,21,27
2019/04/02,8,39,133,50,25,11,20,19
2019/04/03,8,41,140,49,27,10,26,21
2019/04/04,8,40,149,52,26,8,23,24
2019/04/05,9,36,154,53,28,8,20,22
2019/04/06,7,38,182,55,28,10,20,19
2019/04/07,8,37,198,47,28,11,19,22
2019/04/08,9,37,167,50,24,9,28,19
2019/04/09,7,40,144,48,21,11,24,18
2019/04/10,4,43,151,55,21,13,24,21
2019/04/11,4,42,139,55,25,9,21,20
2019/04/12,3,44,171,52,29,11,23,18
2019/04/13,7,40,208,61,26,10,21,21
2019/04/14,6,37,202,50,24,10,20,23
2019/04/15,5,43,148,58,28,10,19,19
2019/04/16,3,44,138,60,30,11,23,23
2019/04/17,7,44,148,61,33,11,21,26
2019/04/18,6,43,157,56,33,16,19,24
2019/04/19,8,42,176,60,28,19,19,24
2019/04/20,5,42,193,57,24,18,16,20
2019/04/21,4,39,182,51,19,18,17,20
2019/04/22,5,39,153,59,19,20,25,20
2019/04/23,4,44,162,59,23,17,28,22
2019/04/24,8,41,173,57,22,18,25,18
2019/04/25,8,40,173,58,24,17,25,23
2019/04/26,8,41,187,58,24,16,22,20
2019/04/27,6,39,246,62,25,20,24,23
2019/04/28,6,38,255,53,26,16,20,25
2019/04/29,8,45,192,57,24,17,24,27
2019/04/30,17,43,188,53,19,18,22,26
2019/05/01,10,48,190,54,18,16,24,33
2019/05/02,7,51,193,54,21,15,20,24
2019/05/03,7,47,227,61,18,14,18,20
2019/05/04,10,41,276,63,15,16,18,28
2019/05/05,11,37,280,54,17,18,26,27
2019/05/06,10,39,190,54,22,19,20,27
2019/05/07,13,43,178,55,25,16,17,27
2019/05/08,6,43,164,59,24,15,20,30
2019/05/09,5,43,168,54,27,15,20,24
2019/05/10,7,44,192,60,26,16,18,25
2019/05/11,8,40,244,65,28,15,16,31
2019/05/12,11,34,220,52,27,13,16,23
2019/05/13,6,43,182,53,25,17,19,24
2019/05/14,7,43,166,48,24,15,19,26
2019/05/15,10,44,150,52,25,16,18,21
2019/05/16,6,43,158,55,25,17,20,22
2019/05/17,9,40,183,54,25,15,18,25
2019/05/18,15,35,186,61,25,14,15,21
2019/05/19,5,32,178,49,27,12,17,17
2019/05/20,7,38,174,54,31,12,20,24
2019/05/21,9,37,160,54,31,13,27,17
2019/05/22,7,37,184,53,33,13,24,17
2019/05/23,10,38,198,62,30,14,24,19
2019/05/24,14,35,234,62,33,14,27,26
2019/05/25,12,31,261,62,29,13,20,26
2019/05/26,6,31,230,56,27,12,19,28
